individual_id,date,body_mass_g,SUL_mm,mouth_width_mm,sex_class,stomach_content_present,marca,mark_MAI,mark_MAD,mark_MPI,mark_MPD,notes
1,08-10-2019,2.9,30.0,11.2,,False,MAI Y,Y,,,,
2,08-10-2019,2.9,28.3,9.3,,True,MAD Y,,Y,,,
3,08-10-2019,2.4,26.5,10.4,,False,MPI Y,,,Y,,
4,08-10-2019,2.3,29.5,9.5,,False,MPD Y,,,,Y,
5,08-10-2019,2.6,27.5,9.6,,False,MAD R,,R,,,
6,08-10-2019,2.9,30.6,11.1,,False,MAI R,R,,,,
7,08-10-2019,1.8,25.8,9.45,,False,MPD R,,,,R,
8,08-10-2019,1.6,22.34,8.01,,False,MPI R,,,R,,
9,08-10-2019,2.4,29.24,10.32,,False,MAI R MAD R,R,R,,,
10,08-10-2019,3.9,32.07,13.01,,False,MPI R MPD R,,,R,R,
11,08-10-2019,2.9,30.13,10.34,,False,MAI B,B,,,,
12,08-10-2019,2.2,26.64,10.5,,False,MAD B,,B,,,
13,08-10-2019,2.5,31.78,10.93,,False,MPI B,,,B,,
14,08-10-2019,2.4,26.93,10.35,,False,MPD B,,,,B,
15,08-10-2019,1.8,28.38,9.85,,False,MAI B MAD B,B,B,,,
16,08-10-2019,2.7,30.94,11.51,,False,MPI B MPD B,,,B,B,
17,08-10-2019,2.1,27.12,10.07,,False,MAI B MPD B,B,,,B,
18,08-10-2019,2.1,28.85,10.05,,False,MAI B MPI B,B,,B,,
19,08-10-2019,2.1,27.53,9.2,,False,MAD B MPI Y,,B,B,,
20,08-10-2019,1.9,26.98,9.12,,False,MAI B MPI B MPD B,B,,B,B,
21,08-10-2019,2.4,24.34,10.43,,False,MPI B MPD Y,,,B,Y,
22,08-10-2019,1.6,25.07,8.94,,False,MPD B MPI Y,,,Y,B,
23,08-10-2019,1.7,24.12,9.01,,False,MAI B MAD B MPI Y,B,B,Y,,
24,08-10-2019,2.5,26.96,9.35,,False,MAI Y MAD Y,Y,Y,,,
25,08-10-2019,2.7,32.02,11.14,,False,MAI Y MPD Y,Y,,,Y,
26,08-10-2019,2.1,28.43,9.74,,False,MAD Y MPI Y,,Y,Y,,
27,08-10-2019,2.6,31.1,9.88,,False,MAI B MPD R,B,,,R,
28,08-10-2019,3.1,31.76,11.96,,False,MAD B MPI R,,B,R,,
29,08-10-2019,2.7,32.42,9.58,,False,MPI B MPD R,,,B,R,
30,08-10-2019,2.1,25.72,9.17,,False,MPD B MAI R,R,,,B,
31,08-10-2019,1.8,26.57,10.01,,False,MAI B MAD B MPI R,B,B,R,,
32,08-10-2019,2.3,24.46,9.32,,False,MPI B MPD B MAI R,R,,B,B,
33,08-10-2019,3.4,32.1,10.46,,False,MPI B MAI R MAD R,R,R,B,,
34,08-10-2019,2.1,26.55,10.37,,False,MAI B MPI R MPD R,B,,R,R,
35,09-10-19,3.3,37.52,12.19,hembra,True,MAI P,P,,,,
36,09-10-19,2.3,25.66,10.17,hembra,True,MAD P,,P,,,
37,09-10-19,2.8,34.53,11.79,hembra,True,MPI P,,,P,,
38,09-10-19,1.6,26.18,9.6,hembra,True,MPD P,,,,P,
39,09-10-19,2.0,26.23,9.39,hembra,True,MAI P MAD P,P,P,,,
40,09-10-19,3.4,35.86,11.14,Macho,True,MPI P MPD P,,,P,P,
41,09-10-19,2.7,29.54,10.73,Macho,True,MAI P MPI P,P,,P,,
42,09-10-19,2.3,26.59,10.64,hembra,True,MAD P MPD P,,P,,P,
43,09-10-19,2.2,28.42,9.62,hembra,True,MAI P MPD P,P,,,P,
44,09-10-19,1.6,29.31,9.37,hembra,True,MAD P MPI P,,P,P,,
45,09-10-19,2.8,30.46,11.47,Macho,True,MAI G,G,,,,
46,09-10-19,1.8,24.31,9.65,hembra,True,MAD G,,G,,,
47,09-10-19,2.2,27.77,10.26,Macho,True,MPI G,,,G,,
48,09-10-19,1.8,27.47,10.37,Macho,True,MPD G,,,,G,
49,09-10-19,2.1,21.23,9.71,hembra,True,MAI G MAD G,G,G,,,
50,09-10-19,2.0,30.47,10.52,,False,MPI G MPD G,,,G,G,
51,09-10-19,1.4,26.99,10.0,hembra,False,MAD G MPD G,G,,G,,
52,09-10-19,2.9,31.44,11.08,,True,MAI G MPIG,,G,,G,
53,09-10-19,2.0,24.96,9.87,,False,MAI G MPD G,G,,,G,
54,,1.9,23.44,10.26,Macho,True,MAD G MPI G,,G,G,,
55,,2.3,27.3,10.24,Macho,True,MAI G MAD P,G,P,,,
56,,2.1,28.85,10.3,hembra,True,MAI G MPI P,G,,P,,
57,,4.3,38.76,12.63,hembra,True,MAI G MPD P,G,,,P,
58,,2.7,30.06,9.84,hembra,True,MAI G MAD P MPI P,G,P,P,,
59,,2.4,31.85,10.52,Macho,True,MAI G MAD P MPI P MPD P,G,P,P,P,
60,11-10-19,1.6,26.2,9.32,,False,MAI G MAD G MPI P,G,G,P,,
61,11-10-19,2.4,30.58,9.7,,False,MAI G MAD G MPD P,G,G,,P,
62,11-10-19,3.0,32.28,10.56,,False,MAI G MAD G MPI P MPD P,G,G,P,P,
63,11-10-19,1.9,26.64,10.07,,False,MAI G MAD G MPI G MPD P,G,G,G,P,
64,11-10-19,2.2,28.64,9.42,Macho,False,MAI P MAD G,P,G,,,
65,11-10-19,2.6,31.06,10.98,Macho,False,MAI P MPI G,P,,G,,
66,11-10-19,2.0,26.85,10.16,hembra,False,MAI P MPD G,P,,,G,
67,11-10-19,3.3,31.72,11.49,hembra,False,MAI P MAD G MPI G,P,G,G,,
68,11-10-19,1.6,27.55,9.69,hembra,False,MAI P MAD G MPD G,P,G,,G,
69,24-11-19,3.7,33.72,12.0,,False,MAI P MAD G MPI G MPD G,P,G,G,G,
70,24-11-19,2.2,29.96,11.41,,False,MAI P MAD P MPI G,P,P,G,,
71,24-11-19,2.3,29.45,9.75,,False,MAI P MAD P MPD G,P,P,,G,
72,24-11-19,3.4,31.84,11.42,,False,MAI P MAD P MPI G MPD G,P,P,G,G,
73,24-11-19,1.9,28.26,9.86,Foto Parásito,False,MAI P MAD P MPI P MPD G,P,P,P,G,
74,24-11-19,3.0,32.0,10.02,,False,MAI Y MAD R,Y,R,,,
75,24-11-19,2.8,31.0,11.37,,False,MAI Y MPI R,Y,,R,,
76,24-11-19,2.6,30.24,10.91,,False,MAI Y MPD R,Y,,,R,
77,24-11-19,2.1,28.07,10.93,,False,MAI Y MAD R MPI R,Y,R,R,,
78,24-11-19,2.5,30.43,10.56,,False,MAI Y MAD R MPI R MPD R,Y,R,R,R,
79,24-11-19,2.8,29.55,11.16,,False,MAI Y MAD Y MPI R,Y,Y,R,,
80,24-11-19,2.5,31.65,12.4,,False,MAI Y MAD Y MPD R,Y,Y,,R,
81,24-11-19,2.2,29.74,11.82,,False,MAI Y MAD Y MPI R MPD R,Y,Y,R,R,
82,24-11-19,2.7,28.93,11.04,,False,MAI R MAD Y,R,Y,,,
83,24-11-19,1.9,27.34,10.88,,False,MAI R MPI Y,R,,Y,,
84,24-11-19,2.1,29.48,11.3,,False,MAI R MPD Y,R,,,Y,
85,24-11-19,3.4,31.02,12.33,,False,MAI R MAD Y MPI Y,R,Y,Y,,
86,24-11-19,2.6,27.44,10.54,,False,MAI R MAD R MPD Y,R,R,,Y,
87,24-11-19,2.0,26.33,10.79,,False,MAI R MAD R MPI Y,R,R,Y,,
88,26-11-19,2.4,25.98,9.24,,True,MAI R MAD R MPI Y MPD Y,R,R,Y,Y,
89,26-11-19,3.0,30.11,12.0,,True,MAI R MAD R MPI R MPD Y,R,R,R,Y,
90,26-11-19,2.4,25.45,10.99,,False,MAD Y MPI R,,Y,R,,Medi pero se me escapó así que usé la marca en otra
91,26-11-19,2.2,28.12,11.12,,False,MAD Y MPDR,,Y,,R,
92,26-11-19,2.7,30.22,12.15,,True,MAI R MAD Y MPI R,R,Y,R,,
93,26-11-19,2.6,28.83,11.94,,True,MAI R MAD Y MPD R,R,Y,,R,
94,26-11-19,3.2,28.2,11.24,,False,MAD Y MPI R MPD R,,Y,R,R,
95,26-11-19,1.3,24.55,8.21,,False,MAI R MAD Y MPI R MPD R,R,Y,R,R,
96,26-11-19,2.7,28.68,11.63,,False,MAD Y MPI R,,Y,R,,
97,26-11-19,2.4,30.02,10.77,,True,MAD Y MPI R,Y,,Y,,
98,26-11-19,2.1,28.1,11.11,,False,MAI Y MPI Y,,Y,,Y,
99,26-11-19,2.1,28.32,11.04,,False,MAD Y MPD Y,Y,,Y,Y,
100,26-11-19,1.9,28.02,9.15,,False,MAI I Y MAD Y MPI Y,Y,Y,Y,,
101,26-11-19,2.2,31.08,11.14,,False,MAD Y MAI Y MPD Y,Y,Y,,Y,
102,26-11-19,2.1,28.59,11.01,,False,MAD R MPI R,,R,R,,
103,26-11-19,2.1,28.52,10.57,,False,MAI R MPD R,R,,,R,
104,26-11-19,2.2,29.98,10.26,,False,MAI R MPI R,R,,R,,
105,26-11-19,2.2,30.29,11.05,,True,MAD R MPD R,,R,,R,
106,26-11-19,2.6,31.44,11.59,,True,MAI R MPI R MPD R,R,,R,R,
107,26-11-19,1.9,28.67,11.21,,False,MAI R MAD R MPD R,R,R,,R,
108,26-11-19,2.6,36.54,12.0,,False,MAI O,O,,,,Adulto
109,26-11-19,3.4,34.51,11.87,,False,MAD O,,O,,,Adulto
110,26-11-19,4.1,30.94,11.64,,False,MPI O,,,O,,Grávida?
111,26-11-19,2.1,25.67,10.65,,False,MPD O,,,,O,
112,26-11-19,2.5,27.92,9.68,,False,MAI O MPI O,O,,O,,
113,26-11-19,2.7,29.63,11.8,,False,MAI O MPD O,O,,,O,
114,26-11-19,2.5,30.55,11.48,,False,MAD O MPI O,,O,O,,
115,26-11-19,2.5,30.56,11.34,,False,MAD O MPD O,,O,,O,
116,26-11-19,2.5,32.15,11.86,,False,MAI O MAD P,O,P,,,
117,26-11-19,1.8,28.11,10.24,,False,MAI O MPI P,O,,P,,
118,26-11-19,2.2,26.85,9.67,,False,MAI O MPD P,O,,,P,
