individual_id,date,body_mass_g,SUL_mm,mouth_width_mm,sex_class,marca,notes
2,9-10-19,2.6,,,,MAD Y,
4,11-10-19,2.6,29.77,9.7,,MPD Y,
5,24-11-19,2.1,31.43,12.09,,MAD R,
6,27-11-19,1.8,28.98,10.46,Hembra,MAI R,
8,28-11-19,2.3,30.48,11.86,macho,MPI R,
9,26-11-19,1.8,25.02,10.26,,MAI R MAD R,
22,9-10-19,1.3,24.59,9.18,,MPD B MPI Y,
23,26-11-19,2.1,30.56,11.82,,MAI B MAD B MPI Y,
33,2019-11-29 00:00:00,2.3,28.78,11.58,macho,MPI B MAI R MAD R,
43,29-11-19,2.2,27.94,10.75,macho,MAI P MPD P,
48,11-10-19,1.5,27.42,9.44,macho,MPD G,
54,26-11-19,2.5,27.94,10.69,,MAD G MPI G,
64,24-11-19,2.5,30.12,11.74,macho,MAI P MAD G,
75,29-11-19,2.5,29.47,11.98,HEMBRA,MAI Y MPI R,
76,27-11-19,2.9,29.33,11.36,Macho,MAI Y MPD R,
83,29-11-19,1.5,26.02,10.68,Macho,MAI R MPI Y,
96,29-11-19,2.5,31.02,11.82,Macho,MAD Y MPI R,
101,28-11-19,2.1,26.51,11.02,macho,MAD Y MAI Y MPD Y,
103,29-11-19,1.8,27.02,10.47,HEMBRA,MAI R MPD R,
118,27-11-19,1.9,24.3,9.7,HEMBRA,MAI O MPD P,
135,28-11-19,2.1,29.12,10.84,macho,MAI Y MAD O,
159,29-11-19,2.0,29.18,10.83,HEMBRA,,
162,28-11-19,,,,,,
168,29-11-19,1.4,25.0,9.61,macho,,
171,28-11-19,,,,,,
176,29-11-19,2.5,29.69,10.91,HEMBRA,,
178,29-11-19,2.2,28.11,11.42,macho,,
